node_id	pr_value
663930	0.00017276773240534524
482708	9.4378983044471e-05
1034017	5.291385005683523e-05
663559	4.770017091384768e-05
357530	4.6379391116971876e-05
1120567	4.498188502863723e-05
663605	4.393014733573655e-05
663682	3.6482923212379185e-05
1108860	3.424691001636123e-05
664788	3.4086429785788994e-05
